ID,Work Item Type,Title,State,Tags,Acceptance Criteria,Description
"166","User Story","Add badge to README","Closed",,,"<b>Azure Boards + GitHub is ready!</b><br><div>Your Azure Boards project is ready and connected to GitHub.<br> </div><div><br> </div><div>See the <a href=""https://aka.ms/azureboardsgithub"">GitHub &amp; Azure Boards</a> documentation for more information about the integration.<br> </div><div><br> </div>If you chose to create a linked pull request, you’ll see that a commit and pull request have already been linked. Click the pull request title to review and merge in the commit to add the badge for this board to your repository’s README. See the <a href=""https://aka.ms/azureboardsgithub-badge"">status badge configuration</a> documentation for more information about configuring your badge."
"242","Epic","Quiz App Backend Development","Active","backend; development; fastapi",,"Develop a comprehensive and scalable backend system for the quiz application using FastAPI. Implement features for user account management, question set management, filtering and randomization, user response tracking, and API endpoints. Ensure the backend is secure, efficient, and follows best practices in terms of architecture, testing, and deployment. The goal is to provide a robust and maintainable backend foundation for the quiz app frontend."
"243","Feature","User Account Management","New","authentication; jwt; user-management",,"Implement a user account management system in the quiz app backend to handle user registration, authentication, and authorization. Use JSON Web Tokens (JWT) for secure authentication and include endpoints for user registration, login, and logout. Store user information securely in the database and provide necessary API endpoints for user profile management."
"244","User Story","JWT-based Authentication","Closed","authentication; jwt; security","JWT token generation implemented
User info and expiration in payload
token signing with Secure key
JWT verification for protected APIs
Proper token validation and error handling
Secure storage of JWT secret key
integration with User login/logout flow
tested with different auth scenarios","Implement JSON Web Token (JWT) based authentication in the quiz app backend for secure user session management. Generate and sign JWT tokens upon successful user login, and include user information and token expiration time in the token payload. Verify and validate JWT tokens for protected API endpoints, ensuring only authenticated users can access restricted resources."
"245","Task","Create auth.py file","Closed","authentication",,"Create auth.py file to handle JWT implementation"
"246","Task","Update user model in models.py","Closed","models",,"Update the user model in models.py for JWT"
"247","Task","Implement JWT token verification in dependencies.py","Closed","dependencies",,"Implement JWT token verification in dependencies.py"
"248","User Story","User Registration","Closed","user-registration","User registration endpoint created
Accepts username email Password
validates Input Data
Checks for existing User records
Securely stores User info in database
Returns success/error response
Password hashing implemented
tested with different registration scenarios","Implement user registration functionality in the quiz app backend to allow new users to create an account. Provide an API endpoint for user registration that accepts user information such as username, email, and password. Validate the input data, check for existing user records, and securely store the user information in the database upon successful registration."
"249","Task","Implement user registration in auth.py","Closed","registration",,"Implement user registration functionality in auth.py"
"250","Task","Define user schema in schemas.py","Closed","schema",,"Define the user schema in schemas.py for user registration"
"251","Task","Handle database operations in crud.py","Closed","crud",,"Handle user creation database operations in crud.py"
"252","User Story","User Login and Logout","Closed","jwt; logout; user-login","User login endpoint created
Accepts username and Password
validates User credentials
Generates JWT token on success
Handles invalid credentials
User logout endpoint created
Invalidates or revokes JWT token
Returns success/error response
tested with different login scenarios","Implement user login and logout functionality in the quiz app backend to allow registered users to securely authenticate and manage their sessions. Provide API endpoints for user login that accept username and password, validate the credentials, and generate a JWT token upon successful authentication. Implement user logout by invalidating or revoking the JWT token."
"253","Task","Implement user login in auth.py","Closed","login",,"Implement user login functionality in auth.py"
"254","Task","Implement user logout in auth.py","Closed","logout",,"Implement user logout functionality in auth.py"
"255","Feature","Question Set Management","New","crud; question-sets",,"Develop a feature for managing question sets in the quiz app backend. Implement functionality to allow users to create, retrieve, update, and delete question sets. Store question sets in the database with relevant metadata such as title, description, tags, and difficulty level. Provide API endpoints for performing CRUD operations on question sets."
"256","User Story","Question Set Uploads","Closed","json; question-upload","Question set upload endpoint created
Accepts JSON file with questions
Parses and validates JSON Data
Extracts questions answers metadata
stores Question set in the database
Returns success/error response
Handles file upload and processing
tested with different JSON files","Implement functionality to allow users to upload question sets in JSON format to the quiz app backend. Provide an API endpoint that accepts a JSON file containing an array of questions, along with their answers, explanations, and metadata. Parse and validate the JSON data, and store the question set in the database for future use."
"257","Task","Create question_sets.py file","Closed","question-sets",,"Create question_sets.py file to handle question set uploads"
"258","Task","Define question set model in models.py","Closed","models",,"Update models.py to define the question set model"
"259","Task","Create question set schema in schemas.py","Closed","schema",,"Define the question set schema in schemas.py"
